No,CCTV 유형코드,설치위치_도로명주소,설치위치_위도,설치위치_경도,지번주소,행정동
46,C,가장산업동로 46 ,37.16257,127.040358,경기도 오산시 가장동,남촌동
47,C,은여울로 17,37.157514,127.06815,경기도 오산시 궐동,남촌동
48,C,,37.172203,127.054876,경기도 오산시 수청동,신장동
49,C,,37.163418,127.068447,경기도 오산시 수청동,신장동
50,C,수청로 79-8,37.17512,127.055208,경기도 오산시 내삼미동,신장동
51,C,수청로 204-26 ,37.178752,127.043262,경기도 오산시 금암동,신장동
52,C,수청로 204-20,37.17821,127.045091,경기도 오산시 금암동,신장동
53,C,수목원로 577-18,37.18317,127.039884,경기도 오산시 세교동,세마동
54,C,,37.198166,127.061699,경기도 오산시 외삼미동,세마동
55,C,,37.197967,127.032207,경기도 오산시 양산동,세마동
56,C,,37.177989,127.052285,경기도 오산시 금암동,신장동
57,C,운천로165번길 31-20 ,37.156782,127.076404,경기도 오산시 오산동,중앙동
58,C,오산로 123-13,37.137946,127.067456,경기도 오산시 오산동,중앙동
59,C,,37.130608,127.072204,경기도 오산시 갈곶동,대원동
60,C,경기대로416번길 50 ,37.161685,127.071144,경기도 오산시 은계동,중앙동
61,C,수청로 65-5 ,37.17477,127.056776,경기도 오산시 내삼미동,신장동
62,C,양산로 362,37.19553,127.024617,경기도 오산시 양산동,세마동
63,C,,37.139578,127.05302,경기도 오산시 누읍동,초평동
64,C,,37.160153,127.077579,경기도 오산시 은계동,중앙동
65,BC,남부대로441번길 33-10,37.137576,127.083767,경기도 오산시 원동,대원동
66,C,운천로 171,37.156124,127.077624,경기도 오산시 오산동,중앙동
67,C,오산로 91-28 ,37.135656,127.06718,경기도 오산시 갈곶동,대원동
68,C,오산로 70,37.133063,127.069246,경기도 오산시 원동,대원동
69,C,오산로132번길 28-5,37.138107,127.072077,경기도 오산시 원동,대원동
70,C,경기대로 102-5,37.13382,127.073188,경기도 오산시 원동,대원동
71,C,동부대로436번길 29,37.140406,127.081021,경기도 오산시 원동,대원동
72,C,경기대로 97,37.133415,127.072348,경기도 오산시 원동,대원동
73,C,남부대로 464-9 ,37.132407,127.083908,경기도 오산시 청호동,대원동
74,C,궐리사로29번길 28-8 ,37.160997,127.056975,경기도 오산시 궐동,남촌동
75,C,현충로72번길 32-8 ,37.160507,127.072007,경기도 오산시 은계동,중앙동
76,C,문헌공로 37,37.176029,127.053631,경기도 오산시 금암동,신장동
77,C,청학로173번길 12 ,37.16425,127.062728,경기도 오산시 수청동,신장동
78,C,매홀로77번길 34 ,37.163528,127.058768,경기도 오산시 수청동,신장동
79,C,큰말25번길 18,37.187809,127.034374,경기도 오산시 세교동,세마동
80,C,외삼미로 135,37.197309,127.06069,경기도 오산시 외삼미동,세마동
81,C,초평로 35,37.144136,127.042457,경기도 오산시 서동,초평동
82,C,수목원로49번길 49 ,37.140349,127.049534,경기도 오산시 누읍동,초평동
83,C,은여울로 17,37.157264,127.069211,경기도 오산시 궐동,남촌동
84,C,경기동로 41,37.158299,127.077374,경기도 오산시 오산동,중앙동
85,C,시장길58번길 2,37.153991,127.069207,경기도 오산시 오산동,중앙동
86,C,오산로300번길 33,37.153446,127.072922,경기도 오산시 오산동,중앙동
87,C,경기대로 75,37.131802,127.071401,경기도 오산시 원동,대원동
88,C,가장로 709,37.153703,127.055163,경기도 오산시 청학동,남촌동
89,C,궐리사로46번길 3,37.159846,127.057813,경기도 오산시 궐동,남촌동
90,C,박동길 7,37.16519,127.068732,경기도 오산시 수청동,신장동
91,C,수청로 11-17,37.170053,127.056496,경기도 오산시 수청동,신장동
92,C,청학로147번길 61-1,37.164622,127.061018,경기도 오산시 수청동,신장동
93,C,눕새로 22,37.139534,127.054224,경기도 오산시 누읍동,초평동
94,C,현충로 56,37.162499,127.074118,경기도 오산시 은계동,중앙동
95,C,가수로 33,37.145512,127.049297,경기도 오산시 가수동,초평동
96,C,시장길 38,37.152367,127.068527,경기도 오산시 오산동,중앙동
97,C,시장길 6-3,37.149563,127.069139,경기도 오산시 오산동,중앙동
98,C,동부대로 291-26,37.127435,127.077406,경기도 오산시 갈곶동,대원동
99,C,궐리사로29번길 18,37.16058,127.056314,경기도 오산시 궐동,남촌동
100,C,궐리사로59번길 25-7,37.159619,127.061726,경기도 오산시 궐동,남촌동
101,C,청학로 48,37.153144,127.063468,경기도 오산시 청학동,남촌동
102,C,내삼미로 127,37.17334,127.065449,경기도 오산시 내삼미동,신장동
103,C,현충로 63-11,37.162777,127.075714,경기도 오산시 은계동,중앙동
104,C,,37.161921,127.075519,경기도 오산시 은계동,중앙동
105,C,독산성로 140-24,37.179298,127.016879,경기도 오산시 지곶동,세마동
106,C,외삼미로 60-11,37.191235,127.059513,경기도 오산시 외삼미동,세마동
107,C,눕새로 6,37.14036,127.052938,경기도 오산시 누읍동,초평동
108,C,음양1길 10-52,37.142729,127.035682,경기도 오산시 벌음동,초평동
109,C,,37.133327,127.08459,경기도 오산시 고현동,대원동
110,C,,37.144994,127.049144,경기도 오산시 가수동,초평동
111,C,부산동길 12,37.148574,127.084419,경기도 오산시 부산동,중앙동
112,C,동부대로 468-16,37.143652,127.080343,경기도 오산시 원동,대원동
113,C,청학로 45,37.153571,127.063359,경기도 오산시 청학동,남촌동
114,C,매홀로77번길 11,37.164179,127.061019,경기도 오산시 수청동,신장동
115,C,오산대역로 222,37.171228,127.066673,경기도 오산시 수청동,신장동
116,C,발안로 1419-11,37.145908,127.052701,경기도 오산시 가수동,초평동
117,C,누읍로46번길 25,37.139648,127.052508,경기도 오산시 누읍동,초평동
118,C,눕새로 8-20,37.13922,127.053538,경기도 오산시 누읍동,초평동
119,C,초평로 55,37.145138,127.044161,경기도 오산시 서동,초평동
120,C,서동로 123-9,37.151313,127.039226,경기도 오산시 서동,초평동
121,C,부산중앙로 37,37.152077,127.091524,경기도 오산시 부산동,중앙동
122,C,,37.169191,127.026973,경기도 오산시 지곶동,세마동
123,C,,37.170237,127.028031,경기도 오산시 지곶동,세마동
124,C,,37.134385,127.084476,경기도 오산시 고현동,대원동
125,E,다온초,37.15089232,127.0907478,경기도 오산시 부산동,중앙동
126,E,다온초,37.15089232,127.0907478,경기도 오산시 부산동,중앙동
127,E,오산숲유치원,37.14833581,127.083997,경기도 오산시 부산동,중앙동
128,E,대호초,37.15993649,127.057906,경기도 오산시 궐동,남촌동
129,E,성산초,37.14948855,127.065567,경기도 오산시 오산동,중앙동
130,E,성호초,37.14909591,127.0700015,경기도 오산시 오산동,중앙동
131,E,대원초,37.13178054,127.072728,경기도 오산시 원동,대원동
132,E,원일초,37.13944514,127.0712368,경기도 오산시 원동,대원동
133,E,운천초,37.15623915,127.0780479,경기도 오산시 오산동,중앙동
134,E,운산초,37.152348,127.0762093,경기도 오산시 오산동,중앙동
135,,궐동-법원앞(법원사거리),127.0593574,37.1593134,궐동,남촌동
136,,원동-오산역광장,127.0677964,37.1454094,오산동,중앙동
137,,궐동-제일하이빌,127.0623857,37.1591978,궐동,남촌동
138,,궐리사 주차장 앞,127.0619202,37.1585588,궐동,남촌동
139,,부산동-운천초교 입구,127.0779908,37.1562159,오산동,중앙동
140,,원동-컨벤션웨딩홀,127.0683157,37.1435473,오산동,중앙동
141,,오산동-KT후문,127.0741778,37.1538045,오산동,중앙동
142,,원동-국민은행,127.0754977,37.1452642,원동,대원동
143,,양산동-한신대 앞 사거리,127.0229714,37.1962677,양산동,세마동
144,,원동 농협앞 건너편,127.073774,37.1379969,원동,대원동
145,,오산동-오산로(대원약국),127.0688269,37.1537248,오산동,중앙동
146,,궐리사 정문앞,127.0620307,37.1589057,궐동,남촌동
147,,오산대 후문 3거리(청학로),127.0650272,37.1564829,궐동,남촌동
148,,운암2단지 근린공원삼거리,127.0772756,37.1580981,오산동,중앙동
149,,원동-이마트,127.0737855,37.1416672,원동,대원동
150,,우리은행 시청점 사거리,127.0748137,37.1484605,원동,대원동
151,,중앙동-성심약국,127.0699059,37.1485321,오산동,중앙동
152,,중앙동 시청후문,127.075441,37.1507488,오산동,중앙동
153,,오산동-양일교회,127.0742796,37.1509083,오산동,중앙동
154,,대원동-동규약국,127.0742219,37.1464767,원동,대원동
155,,우먼필 산부인과 부근,127.0717961,37.1460391,원동,대원동
156,,중앙동-세명프라자,127.0713949,37.1491087,오산동,중앙동
157,,대원동-오산지구대,127.0759792,37.1476902,원동,대원동
158,,궐동-평화교회,127.0659005,37.1604411,궐동,남촌동
159,,원동초교 한솔아파트정문,127.0894505,37.1371515,원동,대원동
160,,남촌동-남촌대교,127.0639997,37.1496912,오산동,중앙동
161,,갈곶동-스위첸 정문앞 사거리,127.0684183,37.1311389,갈곶동,대원동
162,,청호-자이아파트1단지 후문앞,127.0822459,37.1298897,청호동,대원동
163,,오색시장,127.0716974,37.1509755,오산동,중앙동
164,,원일초교앞 부근,127.0713566,37.1394486,원동,대원동
165,,세교-5단지 롯데슈퍼,127.0480021,37.1771108,금암동,신장동
166,,세교-5단지 사거리,127.0453728,37.1775949,금암동,신장동
167,,한국병원부근,127.0764043,37.141894,원동,대원동
168,,한라아파트정문,127.0495223,37.1421969,누읍동,초평동
169,,세마역앞,127.0419627,37.1871286,세교동,세마동
170,,금암동침례교회사거리,127.0458627,37.1773335,금암동,신장동
171,,세마타워뒤,127.0534525,37.1624617,궐동,남촌동
172,,주공8단지입구,127.0461265,37.1796392,금암동,신장동
173,,세마타워앞,127.0421246,37.1855632,세교동,세마동
174,,대림1단지상가,127.0696116,37.1414101,원동,대원동
175,,대호중앞,127.057167,37.1611802,궐동,남촌동
176,,세마역삼거리,127.0448174,37.18470192,세교동,세마동
177,,운산초사거리,127.0776814,37.1527712,오산동,중앙동
178,,힐스테이트아파트 앞,127.0732441,37.1313327,갈곶동,대원동
179,,센트하임삼거리,127.0534804,37.1598596,궐동,남촌동
180,,궐동 가장수목원로,127.0531243,37.156273,궐동,남촌동
181,,세마1단지 사거리,127.0539261,37.1604164,궐동,남촌동
182,,광성초교 앞,127.0398682,37.1841969,세교동,세마동
183,,세마9단지 후문 앞,127.0499871,37.17527482,금암동,신장동
184,,13단지 생태통로앞,127.0507388,37.17451761,금암동,신장동
185,,우미아파트앞 도로,127.0600167,37.171807,수청동,신장동
186,,유시티상황실 사거리,127.0667373,37.16934122,수청동,신장동
187,,물향기지하도 사거리,127.0668603,37.17095224,수청동,신장동
188,,화성초교 삼거리,127.0678084,37.1652518,수청동,신장동
189,,골드파크 사거리,127.0544575,37.1579714,궐동,남촌동
190,,은계동 - 오산침례교회,127.0699796,37.1579555,은계동,중앙동
191,,궐동 608-2 삼거리,127.0532823,37.1636435,궐동,남촌동
192,,내삼미동 임마누엘교회 옆,127.0565341,37.1760478,내삼미동,신장동
193,,우미아파트 교촌치킨 코너,127.0574423,37.1754567,내삼미동,신장동
194,,은계동 장가네 추어탕 앞,127.0717792,37.1628878,은계동,중앙동
195,,은계동 콩미가,127.0744696,37.1624736,은계동,중앙동
196,,궐동 한국야쿠르트 앞,127.0547948,37.157283,궐동,남촌동
197,,궐동 한성빌리지 공영주차장,127.0560431,37.1566703,궐동,남촌동
198,,궐동 양평해장국 사거리,127.0568392,37.1557521,청학동,남촌동
199,,원동 공룡국수 옆 사거리,127.0749683,37.137962,원동,대원동
200,,운암고 돌고래포차 앞,127.0741424,37.1442417,원동,대원동
201,,갈곶동 지혜약국 골목 삼거리,127.0695476,37.1320219,갈곶동,대원동
202,,궐동 노틀담수녀원 옆,127.0562588,37.1537164,청학동,남촌동
203,,궐동 매홀초 앞 사거리,127.061872,37.1629125,수청동,신장동
204,,갈곶동 kcc일방통행 코너,127.0683843,37.13284018,갈곶동,대원동
205,,현충탑 연신빌라 삼거리,127.0694871,37.1634231,수청동,신장동
206,,호반정문,127.0662425,37.1752272,내삼미동,신장동
207,,호반후문,127.0677697,37.1757304,내삼미동,신장동
208,,오산시청 운암4단지 후문 앞,127.075414,37.1496358,오산동,중앙동
209,,세교 본초한의원 앞,127.0455794,37.1767507,금암동,신장동
210,,GS25 궐동 대호점 맞은편,127.0535347,37.1583074,궐동,남촌동
211,,센트하임 앞,127.0546127,37.163002,궐동,남촌동
212,,GS25 궐동 승리점 앞,127.0535606,37.1563144,궐동,남촌동
213,,GS25 오산타운점 맞은편,127.0538805,37.1621777,궐동,남촌동
214,,뽕차이 주면,127.0595491,37.16913961,수청동,신장동
215,,공영주차장 주면,127.060117,37.16967636,수청동,신장동
216,,시티자이 108동 삼거리,127.0889463,37.15073601,부산동,중앙동
217,,시티자이 1단지 후문앞,127.090743,37.15091126,부산동,중앙동
218,,시티자이 201동 정문앞,127.0915706,37.15016094,부산동,중앙동
219,,시티자이 309동 건너편,127.0909642,37.15135441,부산동,중앙동
220,,다온초등학교 앞,127.0908929,37.1519816,부산동,중앙동
221,,지곶동대림입구,127.028245,37.171135,지곶동,세마동
222,,지곶동 대림 정문삼거리,127.026424,37.169523,지곶동,세마동
223,,지곶동 대림 후문삼거리,127.027797,37.170392,지곶동,세마동
224,,세교자이삼거리,127.062597,37.176271,내삼미동,신장동
225,,세교자이후문,127.064053,37.176117,내삼미동,신장동
226,,아이러브안경,127.069994,37.146315,원동,대원동
227,,대우A(뚜레주르앞),127.062405,37.164005,수청동,신장동
228,,오산대정문,127.063277,37.153052,청학동,남촌동
229,,한양수자인 삼거리,127.085559,37.141524,원동,대원동
230,,한양수자인 입구,127.087718,37.141415,원동,대원동
231,,푸르지오 보건소 옆,127.078111,37.159769,오산동,중앙동
232,,푸르지오 정문,127.080601,37.1605887,부산동,중앙동
233,,유탑유블러스 남측,127.071942,37.141494,원동,대원동
234,,유탑유블러스 북측,127.072564,37.142084,원동,대원동
235,,CGV 오산중앙,127.070623,37.142429,원동,대원동
236,,오산대역 입구,127.0613504,37.169868,수청동,신장동
237,,홈플러스 앞 사거리,127.062472,37.169651,수청동,신장동
238,,더?? 후문 삼거리,127.061191,37.193033,외삼미동,세마동
239,,더?? 후문 입구,127.062122,37.193467,외삼미동,세마동
240,,더?? 정문 삼거리,127.067124,37.190757,외삼미동,세마동
241,,더?? 정문 입구,127.065817,37.191759,외삼미동,세마동
242,,시티자이2차 아파트 앞,127.091941,37.154632,부산동,중앙동
243,,오원사거리,127.068303,37.142519,오산동,중앙동
244,,차량등록사업소,127.0642868,37.158197,궐동,남촌동
245,,세교9단지 후문 상가도로,127.050714,37.175949,금암동,신장동
246,,운암고등학교,127.074068,37.143045,원동,대원동
